View,Version,BU,Customer,Product,Year,Time,Account,Value
Actual,Final,10031,COMML,FPROT,FY26,Jan,600000.000,1224
Actual,Final,10031,COMML,FPROT,FY26,Jul,600010.000,3061.2
Actual,Final,10031,COMML,FPROT,FY26,Jun,600020.000,9129.36
Actual,Final,10031,COMML,FPROT,FY26,Mar,600030.000,52379.76
Actual,Final,10031,COMML,FPROT,FY26,May,600040.000,3884.4
Actual,Final,10031,COMML,FPROT,FY25,Apr,600050.000,1042.08
Actual,Final,10031,COMML,FPROT,FY25,Dec,600100.000,-11181.36
Actual,Final,10031,COMML,FPROT,FY25,Oct,600110.000,3456
Actual,Final,10031,COMML,FPROT,FY25,Sep,600120.000,1152
Actual,Final,10031,COMML,HVACR,FY26,Apr,600130.000,151541.52
Actual,Final,10031,COMML,HVACR,FY26,Feb,600200.000,65342.16
Actual,Final,10031,COMML,HVACR,FY26,Jan,600210.000,742378.32
Actual,Final,10031,COMML,HVACR,FY26,Jul,600220.000,118128
Actual,Final,10031,COMML,HVACR,FY26,Jun,600230.000,510924.96
Actual,Final,10031,COMML,HVACR,FY26,Mar,600300.000,49367.52
Actual,Final,10031,COMML,HVACR,FY26,May,601000.000,316351.68
Actual,Final,10031,COMML,HVACR,FY25,Apr,601010.000,26122.56
Actual,Final,10031,COMML,HVACR,FY25,Aug,602000.000,201244.08
Actual,Final,10031,COMML,HVACR,FY25,Dec,603000.000,-136431.36
Actual,Final,10031,COMML,HVACR,FY25,Feb,603100.000,290641.44
Actual,Final,10031,COMML,HVACR,FY25,Jan,603110.000,128144.64
Actual,Final,10031,COMML,HVACR,FY25,Mar,604000.000,450293.52
Actual,Final,10031,COMML,HVACR,FY25,Nov,604100.000,65469.84
Actual,Final,10031,COMML,HVACR,FY25,Oct,604200.000,334264.32
Actual,Final,10031,COMML,HVACR,FY25,Sep,604210.000,38692.8
Actual,Final,10031,COMML,HYDRONICS,FY26,Apr,604220.000,704.4
Actual,Final,10031,COMML,HYDRONICS,FY26,Feb,600000.000,55294.08
Actual,Final,10031,COMML,HYDRONICS,FY26,Jan,600010.000,580036.8
Actual,Final,10031,COMML,HYDRONICS,FY26,Jul,600020.000,32149.92
